CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,SNID,logMstar,z_use,mu_obs,mu_lcdm_67p4,mu_resid_67p4,mu_resid_centered,H0_proxy_centered,host_name,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology,notes,D_reg,logD_reg,F_fill,G_sat,G_overflow,G_absorb,H0_proxy,well_regime,mass_high_10,mass_bin
2019np,18,0.00648,0.00084,0.0055,0.0,0.00452,0.0,13.2078,0.317328,32.4608,0.318474,32.3302,1,0,-0.02786,0.019016,0.11525,0.04952,13.1265,0.0252112,0.10078,0.00234024,2.93734e-05,-2.48823e-05,-3.76401e-05,157.342,29.5106,-999,-999,-9.0,-289.936,250,0.0172714,10.63,-9.0,58510.5,0.0548,102,64.771,0.9985,0.0411,0.2824,-0.0305,0.002,1.0,0.004,2019np,10.63,0.00648,32.4608,32.309532073394344,0.1512679266056551,0.3314146884956823,57.85980409241154,NGC 3254,4.5,4.0,110.0,-10.0,8.7,unbarred spiral,Teen anchor; unbarred spiral.,1.2166563523990208,0.08516792799831031,1.057962045564366,0.5973441565340558,0.032726400123517664,0.4026558434659442,57.85980409241154,near-capacity/saturated,1.0,"(10.5, 11.0]"
2019np,150,0.00648,0.00084,0.0055,0.0,0.00452,0.0,13.1808,0.321157,32.4338,0.32229,32.3302,1,0,-0.025372,0.029598,0.11384,0.074387,13.1161,0.0358983,0.10176,0.00336454,-0.000187854,-1.25753e-06,-8.78652e-05,157.342,29.5106,-999,-999,-9.0,-289.936,250,0.0172714,10.63,-9.0,58510.4,0.0507,66,66.0811,0.47404,0.0645,0.2824,-0.0219,0.003,1.0,0.004,2019np,10.63,0.00648,32.4338,32.309532073394344,0.1242679266056541,0.3044146884956813,58.583721808430674,NGC 3254,4.5,4.0,110.0,-10.0,8.7,unbarred spiral,Teen anchor; unbarred spiral.,1.2166563523990208,0.08516792799831031,1.057962045564366,0.5973441565340558,0.032726400123517664,0.4026558434659442,58.583721808430674,near-capacity/saturated,1.0,"(10.5, 11.0]"
2011iv,5,0.00668,0.00085,0.00594,0.00015,0.00625,0.00015,11.9687,0.419839,31.2217,0.420706,-9.0,0,0,-0.056402,0.022414,-1.89667,0.035884,12.1617,0.0228981,0.24509,0.00516896,-0.000123226,7.84706e-06,-9.49236e-05,54.714,-35.5922,-999,-999,-9.0,-219.284,250,0.00980387,7.0,-9.0,55905.3,0.0919,99,301.977,2.15654e-22,0.0535,0.2772,0.0352,0.006,1.0,0.007,2011iv,7.0,0.00668,31.2217,32.375872674786535,-1.1541726747865368,-0.9740259128965096,105.55166274953127,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009525719077843976,-2.0211022303765147,0.008283233980733893,2.6754664225291416e-15,0.0,0.9999999999999973,105.55166274953129,filling/absorbing,0.0,"(4.999, 8.5]"
2017erp,51,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,12.9421,0.339458,32.1951,0.34053,32.2221,1,0,0.03324,0.023625,0.26056,0.022269,12.9977,0.063433,0.11348,0.00663008,-0.000119712,2.64104e-05,-0.000125899,227.312,-11.3342,-999,-999,-9.0,147.138,250,0.0926627,10.591,-9.0,57935.0,0.0219,164,252.323,1.12596e-05,0.0442,0.2736,-0.0612,0.002,1.0,0.01,2017erp,10.591,0.00677,32.1951,32.40508366698573,-0.2099836669857353,-0.0298369050957081,68.3324948903122,NGC 5861,4.2,6.0,130.0,-10.0,8.7,Seyfert 2 spiral,Adult; Seyfert 2 high-throughput.,2.134476933427631,0.32929146589132424,1.8560668986327227,0.9869935452689584,0.45522739718667204,0.013006454731041561,68.33249489031222,overflowing,1.0,"(10.5, 11.0]"
2017erp,150,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,12.9199,0.370142,32.1729,0.371125,32.2221,1,0,0.071172,0.039678,0.47218,0.19972,13.0751,0.06548,0.10567,0.00637306,-0.00231035,0.000371887,-0.000196343,227.312,-11.3342,-999,-999,-9.0,147.138,250,0.0926627,10.591,-9.0,57934.9,0.3455,18,15.34,0.70076,0.0933,0.2736,-0.0476,0.005,1.0,0.016,2017erp,10.591,0.00677,32.1729,32.40508366698573,-0.2321836669857333,-0.0520369050957061,69.03467387542142,NGC 5861,4.2,6.0,130.0,-10.0,8.7,Seyfert 2 spiral,Adult; Seyfert 2 high-throughput.,2.134476933427631,0.32929146589132424,1.8560668986327227,0.9869935452689584,0.45522739718667204,0.013006454731041561,69.03467387542142,overflowing,1.0,"(10.5, 11.0]"
2017erp,18,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,12.9518,0.3469,32.2048,0.34795,32.2221,1,0,0.058715,0.031136,0.35115,0.079854,13.0604,0.0692627,0.10711,0.00683286,7.02287e-05,-5.06295e-05,-0.000173172,227.312,-11.3342,-999,-999,-9.0,147.138,250,0.0926627,10.591,-9.0,57935.0,0.0649,39,11.6926,0.99999,0.0586,0.2736,-0.0735,0.003,1.0,0.013,2017erp,10.591,0.00677,32.2048,32.40508366698573,-0.200283666985733,-0.0201369050957058,68.02793335208786,NGC 5861,4.2,6.0,130.0,-10.0,8.7,Seyfert 2 spiral,Adult; Seyfert 2 high-throughput.,2.134476933427631,0.32929146589132424,1.8560668986327227,0.9869935452689584,0.45522739718667204,0.013006454731041561,68.02793335208786,overflowing,1.0,"(10.5, 11.0]"
2005cf,57,0.0071,0.00084,0.00703,6e-05,0.00644,6e-05,13.0663,0.324465,32.3193,0.325586,32.3624,1,0,-0.050515,0.023117,-0.060167,0.022551,12.9947,0.0582748,0.1138,0.00610779,-0.000136509,2.5744e-05,-0.000111874,230.384,-7.4132,-999,-999,-9.0,-21.2471,250,0.083778,9.184,-9.0,53534.2,0.0241,108,158.959,0.00103676,0.0444,0.2578,0.0233,0.004,1.0,0.007,2005cf,9.184,0.0071,32.3193,32.508981754241645,-0.1896817542416471,-0.0095349923516198,67.69660589481971,MCG -01-39-003,2.5,10.0,180.0,-10.0,8.7,S0 pec / interacting environment,Extreme Adult; quiescent saturation.,1.2636418746952804,0.10162400916708128,1.0988190214741569,0.6591821890808972,0.059281590166483066,0.3408178109191028,67.69660589481971,near-capacity/saturated,0.0,"(8.5, 9.5]"
2005cf,56,0.0071,0.00084,0.00703,6e-05,0.00644,6e-05,13.0797,0.347269,32.3327,0.348317,32.3624,1,0,-0.047291,0.044638,-0.126135,0.13804,13.0265,0.0668053,0.11051,0.00679939,0.00058498,-0.000161785,-0.00020886,230.384,-7.4132,-999,-999,-9.0,-21.2471,250,0.083778,9.184,0.002,53534.0,0.095,16,8.70059,0.92523,0.1057,0.2578,0.0221,0.004,1.0,0.007,2005cf,9.184,0.0071,32.3327,32.508981754241645,-0.1762817542416428,0.0038650076483844,67.28014131872538,MCG -01-39-003,2.5,10.0,180.0,-10.0,8.7,S0 pec / interacting environment,Extreme Adult; quiescent saturation.,1.2636418746952804,0.10162400916708128,1.0988190214741569,0.6591821890808972,0.059281590166483066,0.3408178109191028,67.28014131872538,near-capacity/saturated,0.0,"(8.5, 9.5]"
2005cf,64,0.0071,0.00084,0.00703,6e-05,0.00644,6e-05,13.0691,0.321523,32.3221,0.322655,32.3624,1,0,-0.036954,0.029054,-0.06305,0.048024,13.0342,0.062371,0.10973,0.00630362,-2.78669e-05,4.30258e-06,-0.000144567,230.384,-7.4132,-999,-999,-9.0,-21.2471,250,0.083778,9.184,4.066,53534.2,0.0355,52,42.0418,0.83654,0.0564,0.2578,0.0176,0.004,1.0,0.007,2005cf,9.184,0.0071,32.3221,32.508981754241645,-0.1868817542416465,-0.0067349923516193,67.60937091984886,MCG -01-39-003,2.5,10.0,180.0,-10.0,8.7,S0 pec / interacting environment,Extreme Adult; quiescent saturation.,1.2636418746952804,0.10162400916708128,1.0988190214741569,0.6591821890808972,0.059281590166483066,0.3408178109191028,67.60937091984886,near-capacity/saturated,0.0,"(8.5, 9.5]"
2003du,57,0.00747,0.00084,0.00664,2e-05,0.00638,2e-05,13.5413,0.28787,32.7943,0.289134,32.8472,1,0,-0.141147,0.019576,0.25827,0.039296,13.1974,0.0226127,0.0944109,0.0019663,-0.000194736,1.42398e-05,-3.343e-05,218.649,59.3344,-999,-999,-9.0,-244.618,250,0.00861887,9.345,-9.0,52766.4,0.098,74,99.7438,0.0247427,0.0443,0.2451,0.0783,0.007,1.0,0.005,2003du,9.345,0.00747,32.7943,32.619909017159706,0.1743909828402934,0.3545377447303206,57.24694924596029,UGC 9391,3.5,3.5,80.0,-10.0,8.7,spiral,Teen anchor; standard spiral host.,0.19996110018206442,-0.699054482433124,0.17387921754962124,4.805423341035223e-06,0.0,0.999995194576659,57.24694924596029,filling/absorbing,0.0,"(8.5, 9.5]"
2003du,63,0.00747,0.00084,0.00664,2e-05,0.00638,2e-05,13.4893,0.29352,32.7423,0.294759,32.8472,1,0,-0.12265,0.025212,0.23579,0.058286,13.1971,0.0295965,0.0944456,0.00257453,-3.39855e-05,-1.46683e-05,-5.88989e-05,218.649,59.3344,-999,-999,-9.0,-244.618,250,0.00861887,9.345,0.132,52766.2,0.0547,45,94.0146,2.58488e-05,0.054,0.2451,0.0694,0.005,1.0,0.005,2003du,9.345,0.00747,32.7423,32.619909017159706,0.1223909828402938,0.302537744730321,58.63438139160715,UGC 9391,3.5,3.5,80.0,-10.0,8.7,spiral,Teen anchor; standard spiral host.,0.19996110018206442,-0.699054482433124,0.17387921754962124,4.805423341035223e-06,0.0,0.999995194576659,58.63438139160715,filling/absorbing,0.0,"(8.5, 9.5]"
2003du,50,0.00747,0.00084,0.00664,2e-05,0.00638,2e-05,13.5155,0.291161,32.7685,0.292411,32.8472,1,0,-0.110323,0.025735,0.24375,0.057368,13.2478,0.0307214,0.0901288,0.00255023,-0.0002005,8.42579e-06,-5.58917e-05,218.649,59.3344,-999,-999,-9.0,-244.618,250,0.00861887,9.345,0.132,52767.3,0.1593,75,42.938,0.99892,0.0578,0.2451,0.057,0.004,1.0,0.006,2003du,9.345,0.00747,32.7685,32.619909017159706,0.1485909828402967,0.3287377447303239,57.93117637940093,UGC 9391,3.5,3.5,80.0,-10.0,8.7,spiral,Teen anchor; standard spiral host.,0.19996110018206442,-0.699054482433124,0.17387921754962124,4.805423341035223e-06,0.0,0.999995194576659,57.931176379400924,filling/absorbing,0.0,"(8.5, 9.5]"
2009ig,56,0.00815,0.00084,0.00801,2e-05,0.00877,2e-05,13.1181,0.370944,32.3711,0.371926,32.5621,1,0,0.05406,0.042592,1.2958,0.14101,13.1911,0.039913,0.0949628,0.00349095,-0.000281514,-9.5727e-05,-0.000113074,39.5484,-1.3125,-999,-999,-9.0,-43.0674,250,0.0277271,9.906,0.019,55080.8,0.1054,28,19.7456,0.87356,0.1093,0.2247,0.0446,0.013,1.0,0.025,2009ig,9.906,0.00815,32.3711,32.810225278251785,-0.4391252782517867,-0.2589785163617595,75.93737839526217,NGC 1015,4.0,5.5,120.0,-10.0,8.7,SB(r)a/barred spiral,Saturated Adult/Teen; active nucleus throughput.,0.841076402174041,-0.07516455172231776,0.7313707844991661,0.1006663034986386,0.0,0.8993336965013614,75.93737839526217,filling/absorbing,0.0,"(9.5, 10.0]"
2009ig,51,0.00815,0.00084,0.00801,2e-05,0.00877,2e-05,13.4904,0.278844,32.7434,0.280148,32.5621,1,0,-0.087219,0.025148,1.07171,0.066357,13.1531,0.0340069,0.0983432,0.00308026,3.74398e-05,-3.15939e-05,-6.78401e-05,39.5484,-1.3125,-999,-999,-9.0,-43.0674,250,0.0277271,9.906,0.002,55080.6,0.0489,112,97.3318,0.8368,0.0523,0.2247,0.0381,0.005,1.0,0.006,2009ig,9.906,0.00815,32.7434,32.810225278251785,-0.0668252782517839,0.1133214836382432,63.972835383903394,NGC 1015,4.0,5.5,120.0,-10.0,8.7,SB(r)a/barred spiral,Saturated Adult/Teen; active nucleus throughput.,0.841076402174041,-0.07516455172231776,0.7313707844991661,0.1006663034986386,0.0,0.8993336965013614,63.9728353839034,filling/absorbing,0.0,"(9.5, 10.0]"
2009ig,66,0.00815,0.00084,0.00801,2e-05,0.00877,2e-05,13.4177,0.285702,32.6707,0.286975,32.5621,1,0,-0.07554,0.029469,1.24376,0.15972,13.0819,0.0378693,0.10501,0.00366263,-0.00113072,2.85276e-05,-8.988e-05,39.5484,-1.3125,-999,-999,-9.0,-43.0674,250,0.0277271,9.906,0.104,55080.1,0.3021,48,17.9737,0.99998,0.0741,0.2247,0.0289,0.006,1.0,0.006,2009ig,9.906,0.00815,32.6707,32.810225278251785,-0.1395252782517886,0.0406214836382386,66.15087601841985,NGC 1015,4.0,5.5,120.0,-10.0,8.7,SB(r)a/barred spiral,Saturated Adult/Teen; active nucleus throughput.,0.841076402174041,-0.07516455172231776,0.7313707844991661,0.1006663034986386,0.0,0.8993336965013614,66.15087601841985,filling/absorbing,0.0,"(9.5, 10.0]"
2009Y,56,0.00996,0.00086,0.0105,0.00015,0.00974,0.00015,13.3927,0.408196,32.6457,0.409088,33.0928,1,0,0.16089,0.049042,-0.148529,0.17305,13.8566,0.0698715,0.0514489,0.00331095,0.000428958,-9.55124e-05,-0.00010804,220.599,-17.2468,-999,-999,-9.0,161.695,250,0.0873928,10.636,0.008,54876.9,0.1469,22,30.8987,0.0982062,0.121,0.1884,-0.108,0.005,1.0,0.024,2009Y,10.636,0.00996,32.6457,33.24873946033863,-0.6030394603386355,-0.4228926984486083,81.89142647995938,NGC 5728,6.0,7.0,147.0,-10.0,8.7,active/Seyfert spiral,Strong throughput/possible overflow candidate; high sigma (147 km/s).,2.4811970604449676,0.394661257970405,2.1575626612564935,0.9954263260727794,0.5340602003292629,0.004573673927220634,81.89142647995938,overflowing,1.0,"(10.5, 11.0]"
2009Y,5,0.00996,0.00086,0.0105,0.00015,0.00974,0.00015,13.4928,0.359283,32.7458,0.360296,33.0928,1,0,0.11483,0.024472,0.26874,0.028763,13.7683,0.0593511,0.0558065,0.00305063,-0.00031073,2.81982e-05,-5.70747e-05,220.599,-17.2468,-999,-999,-9.0,161.695,250,0.0873928,10.636,0.26,54877.2,0.0327,64,583.664,0.0,0.0502,0.1884,-0.0923,0.003,1.0,0.02,2009Y,10.636,0.00996,32.7458,33.24873946033863,-0.5029394603386308,-0.3227926984486036,78.20210372418983,NGC 5728,6.0,7.0,147.0,-10.0,8.7,active/Seyfert spiral,Strong throughput/possible overflow candidate; high sigma (147 km/s).,2.4811970604449676,0.394661257970405,2.1575626612564935,0.9954263260727794,0.5340602003292629,0.004573673927220634,78.20210372418983,overflowing,1.0,"(10.5, 11.0]"
2009Y,65,0.00996,0.00086,0.0105,0.00015,0.00974,0.00015,13.6485,0.332913,32.9015,0.334006,33.0928,1,0,0.037139,0.030716,0.35708,0.075468,13.6995,0.0660522,0.0594583,0.00361722,-0.000360555,2.02709e-05,-9.24022e-05,220.599,-17.2468,-999,-999,-9.0,161.695,250,0.0873928,10.636,2.694,54876.3,0.1969,52,54.0114,0.39744,0.0574,0.1884,-0.0636,0.002,1.0,0.01,2009Y,10.636,0.00996,32.9015,33.24873946033863,-0.3472394603386348,-0.1670926984486076,72.79112578665448,NGC 5728,6.0,7.0,147.0,-10.0,8.7,active/Seyfert spiral,Strong throughput/possible overflow candidate; high sigma (147 km/s).,2.4811970604449676,0.394661257970405,2.1575626612564935,0.9954263260727794,0.5340602003292629,0.004573673927220634,72.79112578665448,overflowing,1.0,"(10.5, 11.0]"
2021hpr,57,0.01044,0.00084,0.00958,2e-05,0.00938,2e-05,13.8339,0.342855,33.0869,0.343916,33.0131,1,0,0.045569,0.026775,0.24592,0.072475,14.0289,0.0336583,0.0438971,0.00136083,0.000274672,-2.23525e-05,-3.17819e-05,154.161,73.4005,-999,-999,-9.0,-255.903,250,0.0209058,6.952,0.132,59322.8,0.0564,92,179.821,1.22635e-07,0.0562,0.1756,0.038,0.006,1.0,0.023,2021hpr,6.952,0.01044,33.0869,33.351740964246424,-0.2648409642464244,-0.0846942023563972,70.08074935906738,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009013589380187063,-2.0451022303765147,0.007837903808858316,1.8171865131270964e-15,0.0,0.9999999999999982,70.08074935906738,filling/absorbing,0.0,"(4.999, 8.5]"
1997bq,62,0.01079,0.00084,0.00993,2e-05,0.00973,2e-05,13.8153,0.322889,33.0683,0.324016,33.0131,1,0,0.085938,0.027668,-0.609001,0.086077,14.1473,0.0368439,0.0393623,0.00133574,0.000408564,-4.45819e-05,-3.0152e-05,154.272,73.3839,-999,-999,-9.0,-255.903,250,0.0215171,12.588,-9.0,50558.5,0.0412,32,201.695,1.62202e-26,0.0607,0.17,-0.076,0.004,1.0,0.016,1997bq,12.588,0.01079,33.0683,33.42392553938588,-0.3556255393858762,-0.175478777495849,73.07278369521848,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),42.41629687993087,1.6275327501114,36.88373641733119,0.9999999999892315,0.9728877793434039,1.0768497205049243e-11,73.07278369521848,overflowing,1.0,"(11.0, 13.0]"
2007A,5,0.01682,0.00085,0.01646,9e-05,0.01765,9e-05,15.2119,0.357309,34.4649,0.358327,34.526,1,0,0.11732,0.024602,0.56889,0.10298,15.4419,0.0473284,0.0119466,0.000520764,3.83038e-05,-1.60282e-06,-9.67992e-06,6.3194,12.8868,-999,-999,-9.0,-104.478,250,0.0633909,10.123,0.01,54113.8,0.067,26,33.1332,0.15827,0.0532,0.1107,-0.1013,0.002,1.0,0.019,2007A,10.123,0.01682,34.4649,34.39789139407981,0.0670086059201935,0.2471553678102207,60.14905699872458,NGC 105,4.0,7.0,150.0,-10.0,8.7,Sab / central SN position,Saturated Adult; central well test.,1.7178324874328303,0.23498081180575087,1.4937673803763742,0.9431661094223499,0.31176518193342134,0.05683389057765009,60.14905699872458,overflowing,1.0,"(10.0, 10.5]"
2007A,65,0.01682,0.00085,0.01646,9e-05,0.01765,9e-05,15.2811,0.340551,34.5341,0.341619,34.526,1,0,0.062705,0.03324,0.39336,0.20063,15.3909,0.0552206,0.0125216,0.000636848,0.00136758,-2.98174e-05,-1.69225e-05,6.3194,12.8868,-999,-999,-9.0,-104.478,250,0.0633909,10.123,0.151,54113.4,0.1398,8,3.92161,0.86413,0.0702,0.1107,-0.0785,0.001,1.0,0.013,2007A,10.123,0.01682,34.5341,34.39789139407981,0.1362086059201956,0.3163553678102229,58.2624606971625,NGC 105,4.0,7.0,150.0,-10.0,8.7,Sab / central SN position,Saturated Adult; central well test.,1.7178324874328303,0.23498081180575087,1.4937673803763742,0.9431661094223499,0.31176518193342134,0.05683389057765009,58.2624606971625,overflowing,1.0,"(10.0, 10.5]"
2004bk,57,0.02352,0.00085,0.02405,1e-05,0.02306,1e-05,15.5861,0.214185,34.8391,0.21588,-9.0,0,1,-0.022127,0.026292,0.47024,0.0686,15.5119,0.0354353,0.0112004,0.000365548,-0.000187288,2.07298e-07,-7.26099e-06,204.37,4.1031,-999,-999,-9.0,155.85,250,0.0218071,7.0,-9.0,53113.5,0.2801,41,38.9738,0.56101,0.0615,0.0794,0.0112,0.002,1.0,0.009,2004bk,7.0,0.02352,34.8391,35.136893097995554,-0.2977930979955516,-0.1176463361055244,71.15233613012154,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009525719077843976,-2.0211022303765147,0.008283233980733893,2.6754664225291416e-15,0.0,0.9999999999999973,71.15233613012154,filling/absorbing,0.0,"(4.999, 8.5]"
2003gn,57,0.03375,0.00086,0.03316,2e-05,0.03438,2e-05,16.7699,0.241513,36.0229,0.243018,-9.0,0,1,0.048082,0.025656,-1.09542,0.10076,17.1435,0.0390999,0.0024922,8.97501e-05,0.000264846,-1.34194e-06,-1.81706e-06,338.465,20.8024,-999,-999,-9.0,-170.66,250,0.0427439,7.0,-9.0,52853.1,0.0684,46,87.6453,0.000209175,0.0555,0.0563,0.011,0.007,1.0,0.021,2003gn,7.0,0.03375,36.0229,35.93758130712672,0.0853186928732796,0.2654654547633068,59.64400604915594,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009525719077843976,-2.0211022303765147,0.008283233980733893,2.6754664225291416e-15,0.0,0.9999999999999973,59.64400604915595,filling/absorbing,0.0,"(4.999, 8.5]"
2008dr,57,0.04014,0.00087,0.03996,1e-05,0.04119,1e-05,17.031,0.145415,36.284,0.147901,-9.0,0,1,-0.001615,0.021237,-1.38746,0.082156,17.2345,0.0321758,0.00229182,6.79183e-05,-9.7201e-05,2.74504e-08,-1.12835e-06,332.715,2.1082,-999,-999,-9.0,-51.0533,250,0.036936,11.3888,-9.0,54649.5,0.1443,50,41.1414,0.80965,0.0477,0.048,-0.0485,0.001,1.0,0.005,2008dr,11.3888,0.04014,36.284,36.32428512350255,-0.0402851235025494,0.1398616383874778,63.19570583475025,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),10.664309731105313,1.0279327501114004,9.273312809656794,0.9999998304274472,0.892163520906421,1.6957255277727512e-07,63.19570583475025,overflowing,1.0,"(11.0, 13.0]"
AT2016cvv,150,0.04438,0.00096,0.04404,0.0004,0.04457,0.0004,17.2939,0.229619,36.5469,0.231201,-9.0,0,1,0.054703,0.043587,1.47222,0.33066,17.2196,0.0741287,0.00232353,0.000158639,-0.00449484,1.08624e-05,-5.56977e-06,290.12,54.2087,-999,-999,-9.0,-97.4435,250,0.0886039,11.4594,0.034,57558.1,0.7166,9,24.2621,0.00390558,0.112,0.048,-0.0786,0.002,1.0,0.01,AT2016cvv,11.4594,0.04438,36.5469,36.54904142392225,-0.0021414239222465,0.1780053379677806,62.095314200418805,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),11.567319999423766,1.0632327501114007,10.058539129933711,0.9999999040034578,0.9005818979604623,9.599654215985964e-08,62.095314200418805,overflowing,1.0,"(11.0, 13.0]"
2005hc,64,0.04575,0.00087,0.04496,2e-05,0.04592,2e-05,17.2104,0.171419,36.4634,0.173532,-9.0,0,1,-0.026552,0.027774,0.42521,0.11499,17.1229,0.0342991,0.00253993,8.02382e-05,-0.000112077,-5.0524e-07,-1.81734e-06,29.1998,-0.2137,-999,-999,-9.0,-228.691,250,0.0281406,7.0,0.161,53668.3,0.136,54,75.9344,0.0261784,0.0649,0.0422,0.005,0.004,1.0,0.008,2005hc,7.0,0.04575,36.4634,36.617218627772296,-0.1538186277722957,0.0263281341177315,66.5877391724735,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009525719077843976,-2.0211022303765147,0.008283233980733893,2.6754664225291416e-15,0.0,0.9999999999999973,66.5877391724735,filling/absorbing,0.0,"(4.999, 8.5]"
2005hc,5,0.04575,0.00087,0.04496,2e-05,0.04592,2e-05,17.2609,0.149515,36.5139,0.151933,-9.0,0,1,-0.058108,0.022165,0.7928,0.038244,17.0338,0.0272435,0.00275724,6.91851e-05,-0.00018788,3.18462e-07,-1.11702e-06,29.1998,-0.2137,-999,-999,-9.0,-228.691,250,0.0281406,7.0,0.14,53668.2,0.0543,60,56.1364,0.61765,0.0538,0.0422,0.0172,0.004,1.0,0.006,2005hc,7.0,0.04575,36.5139,36.617218627772296,-0.1033186277722961,0.076828134117731,65.05703551785936,,8.0,2.0,150.0,-10.0,8.7,late/diffuse,Forensic Child (Absorbing),0.009525719077843976,-2.0211022303765147,0.008283233980733893,2.6754664225291416e-15,0.0,0.9999999999999973,65.05703551785936,filling/absorbing,0.0,"(4.999, 8.5]"
2006ot,5,0.05202,0.00089,0.05232,0.00015,0.0531,0.00015,17.6149,0.206551,36.8679,0.208308,-9.0,0,1,0.099567,0.02315,0.82077,0.091625,17.7273,0.0254217,0.00145572,3.40846e-05,-0.000368389,6.3544e-07,-6.23376e-07,33.7702,-20.7662,-999,-999,-9.0,85.9349,250,0.0152133,11.3736,0.17,54064.2,0.2449,45,225.36,7.802730000000001e-26,0.0573,0.0381,-0.1268,0.004,1.0,0.014,2006ot,11.3736,0.05202,36.8679,36.90593771729581,-0.0380377172958148,0.1421090445942124,63.13033408524015,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),10.479311501364746,1.0203327501114003,9.112444783795432,0.9999998083293796,0.8902597954068685,1.9167062037528382e-07,63.13033408524015,overflowing,1.0,"(11.0, 13.0]"
2006ot,64,0.05202,0.00089,0.05232,0.00015,0.0531,0.00015,17.2903,0.297607,36.5433,0.298829,-9.0,0,0,0.13415,0.049045,-1.13594,0.4536,17.7779,0.0394795,0.00138939,5.05209e-05,0.000969474,1.23347e-06,-1.21154e-06,33.7702,-20.7662,-999,-999,-9.0,85.9349,250,0.0152133,11.3736,3.203,54064.9,0.8669,6,31.1061,2.41937e-05,0.1484,0.0381,-0.1472,0.007,1.0,0.017,2006ot,11.3736,0.05202,36.5433,36.90593771729581,-0.3626377172958115,-0.1824909554057842,73.30913372925482,,2.5,8.0,150.0,-10.0,8.7,early/compact,Forensic Adult (Saturated),10.479311501364746,1.0203327501114003,9.112444783795432,0.9999998083293796,0.8902597954068685,1.9167062037528382e-07,73.30913372925482,overflowing,1.0,"(11.0, 13.0]"
