proxy,amp,Dsat,q,best_model,best_BIC,BIC_mass_only,delta_BIC_best_minus_mass,mass_step_mu_high_minus_low,H0_split_highD_minus_lowD,score
D_MR_age,-0.115,0.8,7.0,D_MR_age,-11308.092375081851,-11022.323785466835,-285.768589615016,-0.07277421043685514,4.159259213250678,0.00722578956314486
D_MR_age,-0.115,0.8,5.0,D_MR_age,-11338.826354640622,-11059.347083988501,-279.47927065212025,-0.0727369761459897,4.148802751322904,0.0072630238540103
D_MR_age,-0.115,0.8,3.0,D_MR_age,-11395.911465095309,-11141.297842218784,-254.61362287652446,-0.07177203693220119,4.053020514105938,0.008227963067798813
D_MR_age,-0.115,1.0,7.0,D_MR_age,-11301.99477869681,-11011.058976216878,-290.9358024799312,-0.06959295633414837,4.1598995739337425,0.010407043665851629
D_MR_age,-0.115,1.0,5.0,D_MR_age,-11335.053888085255,-11051.71373133241,-283.34015675284536,-0.06955507447761575,4.151343562803945,0.010444925522384255
D_MR_age,-0.115,1.0,3.0,D_MR_age,-11393.442505255214,-11137.370531671755,-256.0719735834591,-0.06860236531244837,4.058285022194866,0.01139763468755163
D_MR_age,-0.1,0.8,7.0,D_MR_age,-11348.394508101577,-11123.225520232383,-225.1689878691941,-0.06533036963193398,3.663559949222062,0.014669630368066025
D_MR_age,-0.1,0.8,5.0,D_MR_age,-11372.113611663624,-11152.540072417803,-219.57353924582094,-0.06529799198770318,3.6544790557362177,0.014702008012296819
D_MR_age,-0.1,0.8,3.0,D_MR_age,-11416.414401727743,-11217.535940355441,-198.8784613723019,-0.06445891441049578,3.5713835888432897,0.01554108558950422
D_MR_age,-0.1,1.0,7.0,D_MR_age,-11343.264334807685,-11113.843168348574,-229.4211664591112,-0.0625640617165368,3.664119982982214,0.017435938283463195
D_MR_age,-0.1,1.0,5.0,D_MR_age,-11369.114949324814,-11146.371712667227,-222.74323665758675,-0.06253112097172583,3.6567132036852996,0.017468879028274167
D_MR_age,-0.1,1.0,3.0,D_MR_age,-11414.606833573922,-11214.505654581337,-200.10117899258512,-0.06170267821940635,3.576132107511455,0.01829732178059365
D_sigma_age,-0.115,0.8,7.0,E_sigma_age,-11350.694118762995,-10964.518877111292,-386.1752416517029,-0.06136310903975365,4.077688268950766,0.01863689096024635
D_sigma_age,-0.115,0.8,5.0,E_sigma_age,-11382.374455549725,-11007.00100811065,-375.3734474390749,-0.06097537839446739,4.036012507111138,0.01902462160553261
D_sigma_age,-0.115,0.8,3.0,E_sigma_age,-11429.968955784972,-11093.582313030209,-336.38664275476367,-0.05882092065345331,3.840923905860521,0.02117907934654669
D_MR_age,-0.085,0.8,7.0,D_MR_age,-11384.114604327338,-11214.43557451823,-169.67902980910912,-0.05788652882701284,3.1712742625271773,0.022113471172987162
D_MR_age,-0.085,0.8,5.0,D_MR_age,-11401.610546386564,-11236.58496155706,-165.0255848295037,-0.05785900782941664,3.1635653661176804,0.022140992170583365
D_MR_age,-0.085,0.8,3.0,D_MR_age,-11434.584867314887,-11285.89787656929,-148.68699074559663,-0.057145791888790376,3.0930975722299934,0.022854208111209626
D_sigma_age,-0.115,1.0,5.0,F_sigma_age_controls,-11381.487624895113,-10950.434846494074,-431.0527784010392,-0.05670282960669544,4.069233430963024,0.02329717039330456
D_sigma_age,-0.115,1.0,3.0,F_sigma_age_controls,-11427.294481809544,-11051.839167102195,-375.4553147073493,-0.05627716234889334,3.9156521747102033,0.023722837651106658
D_sigma_age,-0.115,1.0,7.0,F_sigma_age_controls,-11352.84612217949,-10906.08189399014,-446.7642281893495,-0.056226521716785424,4.088692278184766,0.023773478283214577
D_MR_age,-0.085,1.0,7.0,D_MR_age,-11379.913997850395,-11206.884742146918,-173.02925570347725,-0.05553516709892523,3.171752991096426,0.02446483290107477
D_MR_age,-0.085,1.0,5.0,D_MR_age,-11399.311695256927,-11231.79724242224,-167.51445283468638,-0.05550716746583591,3.1654852807122467,0.024492832534164094
D_sigma_age,-0.1,0.8,7.0,E_sigma_age,-11381.948621841771,-11076.88849881397,-305.0601230278007,-0.055407672764889226,3.583500509999695,0.024592327235110775
D_sigma_age,-0.1,0.8,5.0,E_sigma_age,-11406.408455851697,-11110.742831274794,-295.6656245769027,-0.05507051568203161,3.547274478431376,0.02492948431796839
D_MR_age,-0.085,1.0,3.0,D_MR_age,-11433.343023240925,-11283.679415639437,-149.66360760148746,-0.05480299112636436,3.0972778788468958,0.025197008873635643
D_sigma_age,-0.115,1.2,3.0,F_sigma_age_controls,-11428.442456136432,-11033.612383818869,-394.83007231756346,-0.05395148887428511,3.924072111516665,0.026048511125714893
D_sigma_age,-0.115,1.2,5.0,F_sigma_age_controls,-11387.017515065554,-10925.185861545217,-461.83165352033757,-0.05371675895324622,4.073382438410107,0.02628324104675378
D_sigma_age,-0.1,0.8,3.0,E_sigma_age,-11442.957662937431,-11179.33348761549,-263.62417532194195,-0.05319707416810631,3.3778603595145995,0.02680292583189369
D_sigma_age,-0.115,1.2,7.0,F_sigma_age_controls,-11363.805042924963,-10880.909507903301,-482.895535021662,-0.05293774671929632,4.089859642961926,0.027062253280703684
D_MR_age,-0.085,1.2,3.0,D_MR_age,-11432.509833500919,-11288.03340758449,-144.47642591642943,-0.05264593010427487,3.077389359014248,0.027354069895725135
D_sigma_age,-0.115,1.4,3.0,F_sigma_age_controls,-11428.223138520447,-11031.906066206877,-396.31707231356995,-0.051966893245629676,3.8956809978514997,0.028033106754370325
D_sigma_age,-0.115,1.4,5.0,F_sigma_age_controls,-11389.069493710147,-10920.083597940997,-468.9858957691504,-0.05181492187360266,4.0643774153009105,0.02818507812639734
D_sigma_age,-0.1,1.0,5.0,F_sigma_age_controls,-11403.51651843398,-11063.995962265837,-339.52055616814323,-0.051355255866577715,3.5761754336403015,0.028644744133422287
D_sigma_age,-0.115,1.4,7.0,F_sigma_age_controls,-11367.95885483909,-10874.635439591246,-493.3234152478435,-0.05122763016350777,4.087673783636603,0.02877236983649223
D_sigma_age,-0.1,1.0,3.0,F_sigma_age_controls,-11438.924734060716,-11145.259277502999,-293.66545655771733,-0.05098511042501069,3.4429577252459325,0.029014889574989308
D_sigma_age,-0.1,1.0,7.0,F_sigma_age_controls,-11381.412764084109,-11028.345294739034,-353.06746934507464,-0.05094107509274293,3.5930705788460386,0.029058924907257075
D_MR_age,-0.07,0.8,7.0,D_MR_age,-11415.044744374509,-11294.707662791845,-120.33708158266381,-0.05044268802209169,2.6823786551214823,0.029557311977908313
D_MR_age,-0.07,0.8,5.0,D_MR_age,-11427.176526698295,-11310.413456614784,-116.76307008351068,-0.05042002367113013,2.676038220130735,0.02957997632886987
D_MR_age,-0.07,0.8,3.0,D_MR_age,-11450.370499849598,-11345.658363993572,-104.71213585602527,-0.04983266936708494,2.6181395726967622,0.03016733063291506
D_sigma_age,-0.085,0.8,7.0,E_sigma_age,-11409.511232292303,-11178.903045925905,-230.6081863663985,-0.04945223649002478,3.0927273765385905,0.03054776350997522
D_sigma_age,-0.085,0.8,5.0,E_sigma_age,-11427.592072599733,-11204.658308347041,-222.93376425269162,-0.04916565296959581,3.0619468962661074,0.03083434703040419
D_sigma_age,-0.1,1.2,3.0,F_sigma_age_controls,-11439.740805855465,-11130.240122247182,-309.500683608283,-0.048962785664481784,3.450500201582045,0.031037214335518218
D_sigma_age,-0.1,1.2,5.0,F_sigma_age_controls,-11407.57574446757,-11042.899397588246,-364.6763468793233,-0.04875867268966537,3.579823000549524,0.031241327310334632
D_MR_age,-0.07,1.0,7.0,D_MR_age,-11411.72821684966,-11288.899693859257,-122.82852299040314,-0.04850627248131366,2.6827751102660216,0.03149372751868634
D_MR_age,-0.07,1.0,5.0,D_MR_age,-11425.497165449022,-11306.891148525108,-118.60601692391356,-0.04848321395994598,2.677636409573651,0.03151678604005402
D_sigma_age,-0.1,1.2,7.0,F_sigma_age_controls,-11389.688461191705,-11007.137928609598,-382.5505325821068,-0.048081270747100224,3.5940917737037665,0.03191872925289978
D_MR_age,-0.07,1.0,3.0,D_MR_age,-11449.594827239738,-11344.148923374243,-105.44590386549498,-0.04790330403332234,2.6216999886732566,0.03209669596667766
D_sigma_age,-0.085,0.8,3.0,E_sigma_age,-11454.46069912366,-11256.54073253927,-197.91996658438984,-0.0475732276827593,2.9181378109420706,0.0324267723172407
D_sigma_age,-0.1,1.4,3.0,F_sigma_age_controls,-11439.6679012369,-11128.686055979364,-310.9818452575364,-0.047237050335216205,3.426116179760214,0.0327629496647838
D_sigma_age,-0.1,1.4,5.0,F_sigma_age_controls,-11409.151953492517,-11038.421611928128,-370.73034156438916,-0.047104901316062264,3.572069426420427,0.03289509868393774
D_MR_age,-0.07,1.2,5.0,D_MR_age,-11425.60802474027,-11310.899250039192,-114.70877470107735,-0.046868669492951806,2.6733645261681716,0.033131330507048196
D_sigma_age,-0.1,1.4,7.0,F_sigma_age_controls,-11392.814859806926,-11001.589924873262,-391.22493493366346,-0.0465942128725015,3.592207433979624,0.033405787127498504
D_MR_age,-0.07,1.2,3.0,D_MR_age,-11449.314642003017,-11347.51709868078,-101.79754332223638,-0.04612690083866042,2.6054937798349016,0.033873099161339584
D_sigma_age,-0.085,1.0,5.0,F_sigma_age_controls,-11422.963791526305,-11167.414378930882,-255.54941259542284,-0.04600768212646,3.0865238180241192,0.03399231787354
D_sigma_age,-0.085,1.0,3.0,F_sigma_age_controls,-11449.227537928657,-11229.741139786984,-219.4863981416729,-0.04569305850112804,2.973568483266007,0.034306941498871965
D_sigma_age,-0.085,1.0,7.0,F_sigma_age_controls,-11406.627272086269,-11140.02070764606,-266.6065644402097,-0.04565562846870044,3.100863084515723,0.03434437153129956
D_MR_age,-0.07,1.4,3.0,D_MR_age,-11449.306972787097,-11353.453081514766,-95.85389127233066,-0.044459500688895155,2.575946286796807,0.035540499311104846
D_sigma_age,-0.085,1.2,3.0,F_sigma_age_controls,-11449.764636330721,-11217.798536987957,-231.9660993427642,-0.04397408245467846,2.98016593948374,0.03602591754532154
D_sigma_age,-0.085,1.2,5.0,F_sigma_age_controls,-11425.763195248093,-11150.392947167753,-275.3702480803404,-0.043800586426084503,3.0896577893910973,0.0361994135739155
D_sigma_age,-0.07,0.8,7.0,E_sigma_age,-11433.254492131893,-11269.037395541916,-164.2170965899768,-0.043496800215160364,2.605345361877454,0.03650319978483964
D_sigma_age,-0.07,0.8,5.0,E_sigma_age,-11445.85042353015,-11287.438161396587,-158.41226213356276,-0.04326079025716002,2.580006280981493,0.03673920974283998
D_sigma_age,-0.085,1.2,7.0,F_sigma_age_controls,-11412.564017850767,-11122.754585790055,-289.8094320607124,-0.04322479477490416,3.1017362451683397,0.03677520522509584
D_MR_age,-0.055,0.8,7.0,D_MR_age,-11440.999169235449,-11362.851979035591,-78.1471901998575,-0.042998847217170524,2.1968497907137277,0.03700115278282948
D_MR_age,-0.055,0.8,5.0,D_MR_age,-11448.686473755864,-11373.014240372691,-75.67223338317308,-0.042981039512843586,2.1918743168661763,0.037018960487156416
D_MR_age,-0.055,0.8,3.0,D_MR_age,-11463.725080843149,-11396.143829115454,-67.58125172769542,-0.04251954684537952,2.146486854938331,0.03748045315462048
D_sigma_age,-0.085,1.4,3.0,F_sigma_age_controls,-11449.803699015718,-11216.420066495986,-233.3836325197317,-0.04250720742480271,2.9596961203336605,0.03749279257519729
D_sigma_age,-0.085,1.4,5.0,F_sigma_age_controls,-11426.921996316794,-11146.573013156747,-280.3489831600473,-0.04239488075852188,3.083132153939829,0.03760511924147812
D_sigma_age,-0.085,1.4,7.0,F_sigma_age_controls,-11414.797318537932,-11117.984934463955,-296.8123840739772,-0.04196079558149522,3.1001484069676337,0.03803920441850478
D_sigma_age,-0.07,0.8,3.0,E_sigma_age,-11464.457175625037,-11324.299340366091,-140.15783525894585,-0.041949381197412317,2.4617333185242956,0.038050618802587685
D_MR_age,-0.055,1.0,7.0,D_MR_age,-11438.513767665158,-11358.6580979034,-79.85566976175687,-0.04147737786370209,2.1971630141424896,0.03852262213629791
D_MR_age,-0.055,1.0,5.0,D_MR_age,-11447.540506574169,-11370.610819460368,-76.92968711380126,-0.041459260454056054,2.19314336667469,0.03854073954594395
D_MR_age,-0.055,1.0,3.0,D_MR_age,-11463.312651095233,-11395.223761563278,-68.08888953195492,-0.04100361694028034,2.149376240856057,0.03899638305971966
D_sigma_age,-0.07,1.0,5.0,F_sigma_age_controls,-11439.767331978594,-11259.165523973108,-180.6018080054855,-0.04066010838634229,2.6002551613140383,0.03933989161365771
D_sigma_age,-0.07,1.0,3.0,E_sigma_age,-11459.271848141983,-11304.2318682414,-155.0399799005827,-0.04040100657724538,2.5074619949603516,0.03959899342275462
D_sigma_age,-0.07,1.0,7.0,F_sigma_age_controls,-11428.384139931282,-11239.356253988715,-189.02788594256708,-0.04037018184465796,2.61204629435359,0.03962981815534204
D_sigma_age,-0.07,1.2,3.0,F_sigma_age_controls,-11458.498366253263,-11295.17211782969,-163.3262484235729,-0.038985379244875135,2.5130475785929463,0.09101462075512487
D_sigma_age,-0.07,1.2,5.0,F_sigma_age_controls,-11441.526609679653,-11246.051647404494,-195.47496227515876,-0.03884250016250365,2.602863507712698,0.09115749983749635
D_sigma_age,-0.07,1.2,7.0,F_sigma_age_controls,-11432.346113736854,-11225.920217840376,-206.42589589647832,-0.03836831880270805,2.612769575655264,0.09163168119729195
D_sigma_age,-0.07,1.4,3.0,F_sigma_age_controls,-11458.614350464884,-11293.992357775052,-164.62199268983204,-0.03777736451438923,2.496399991900091,0.09222263548561077
D_sigma_age,-0.07,1.4,5.0,F_sigma_age_controls,-11442.328899537351,-11242.914397883578,-199.4145016537732,-0.03768486020098148,2.5975425393007043,0.09231513979901852
D_sigma_age,-0.055,0.8,7.0,E_sigma_age,-11453.065933435822,-11345.815051837113,-107.25088159870938,-0.03754136394029592,2.121331121141779,0.09245863605970409
D_sigma_age,-0.055,0.8,5.0,E_sigma_age,-11461.117764015748,-11357.827348425006,-103.29041559074176,-0.03735592754472422,2.1014293145165084,0.09264407245527578
D_sigma_age,-0.07,1.4,7.0,F_sigma_age_controls,-11433.827746418356,-11221.972150294665,-211.8555961236907,-0.03732737829048894,2.61147327217229,0.09267262170951107
D_sigma_age,-0.055,0.8,3.0,E_sigma_age,-11472.92875611321,-11381.758946508648,-91.16980960456203,-0.036325534712065316,2.008624097456618,0.09367446528793469
D_sigma_age,-0.055,1.0,5.0,E_sigma_age,-11454.426828009717,-11337.765044076703,-116.6617839330138,-0.03531253464622458,2.117346201759517,0.09468746535377542
D_sigma_age,-0.055,1.0,3.0,E_sigma_age,-11468.825063462556,-11367.73040959245,-101.09465387010641,-0.03510895465336272,2.044615958838918,0.09489104534663728
D_sigma_age,-0.055,1.0,7.0,F_sigma_age_controls,-11446.590303732572,-11324.628495731067,-121.96180800150432,-0.03508473522061545,2.126596869281329,0.09491526477938456
D_sigma_age,-0.055,1.2,3.0,F_sigma_age_controls,-11465.928300102907,-11361.294842766683,-104.63345733622373,-0.03399667603507182,2.0491235183067005,0.0960033239649282
D_sigma_age,-0.055,1.2,5.0,F_sigma_age_controls,-11454.81908883696,-11328.292176760979,-126.52691207598218,-0.0338844138989228,2.1194170181990586,0.0961155861010772
D_sigma_age,-0.055,1.2,7.0,F_sigma_age_controls,-11448.959231370629,-11314.812661242759,-134.1465701278703,-0.03351184283051197,2.127168445051211,0.09648815716948803
D_sigma_age,-0.055,1.4,3.0,F_sigma_age_controls,-11466.085664593551,-11360.335886918401,-105.74977767514974,-0.03304752160397574,2.0362071047938173,0.09695247839602426
D_sigma_age,-0.055,1.4,5.0,F_sigma_age_controls,-11455.327997583881,-11325.851379699345,-129.4766178845366,-0.0329748396434411,2.1152776816910546,0.0970251603565589
D_sigma_age,-0.055,1.4,7.0,F_sigma_age_controls,-11449.836880838633,-11311.71669240493,-138.12018843370242,-0.03269396099948266,2.1261587602847527,0.09730603900051735
D_MR_age,-0.115,1.2,7.0,C_kitchen_sink,-11311.578434352428,-11018.137751796605,-293.4406825558235,-0.06718464466720792,4.158377385225677,0.2128153553327921
D_MR_age,-0.115,1.2,5.0,C_kitchen_sink,-11342.602013153059,-11059.046976399315,-283.5550367537435,-0.06690260856755391,4.144138630802388,0.2130973914324461
D_MR_age,-0.115,1.2,3.0,C_kitchen_sink,-11393.626263920696,-11143.85047099839,-249.7757929223062,-0.06568398863550376,4.03080428279452,0.21431601136449624
D_MR_age,-0.115,1.4,7.0,C_kitchen_sink,-11322.487060971223,-11036.632217411652,-285.85484355957124,-0.06500765506775073,4.153756238694015,0.21499234493224928
D_MR_age,-0.115,1.4,5.0,C_kitchen_sink,-11350.60306855837,-11074.62635185655,-275.9767167018199,-0.06444358517723774,4.127362595788128,0.21555641482276228
D_MR_age,-0.115,1.4,3.0,C_kitchen_sink,-11398.227261006414,-11155.933757241764,-242.29350376464936,-0.06294468838946082,3.981146119751031,0.2170553116105392
D_MR_age,-0.1,1.2,7.0,C_kitchen_sink,-11349.858299603362,-11119.841065509316,-230.01723409404622,-0.0604698776583277,3.6628067864362492,0.2195301223416723
D_MR_age,-0.1,1.2,5.0,C_kitchen_sink,-11374.042477337789,-11152.576631169517,-221.46584616827204,-0.06022462887601989,3.65050257321856,0.21977537112398013
D_MR_age,-0.1,1.2,3.0,C_kitchen_sink,-11413.45434272506,-11219.902468724018,-193.55187400104114,-0.05916495936988932,3.5524856631527086,0.2208350406301107
D_MR_age,-0.1,1.4,7.0,C_kitchen_sink,-11359.450656417832,-11135.535855076556,-223.91480134127596,-0.0585768432240171,3.6588162832226203,0.2214231567759829
D_MR_age,-0.1,1.4,5.0,C_kitchen_sink,-11381.047852900749,-11165.63720667076,-215.41064622998783,-0.058086347667049315,3.6360176898776473,0.22191365233295068
D_MR_age,-0.1,1.4,3.0,C_kitchen_sink,-11417.448993105269,-11229.808619690606,-187.64037341466246,-0.05678295915593894,3.5096301913998076,0.22321704084406108
D_MR_age,-0.085,1.2,7.0,C_kitchen_sink,-11383.32752211092,-11211.809507411703,-171.51801469921702,-0.05375511064944749,3.170645591932768,0.22624488935055254
D_MR_age,-0.085,1.2,5.0,C_kitchen_sink,-11401.406773680414,-11236.88738379114,-164.51938988927395,-0.053546649184485845,3.160252276604041,0.22645335081551415
D_MR_age,-0.085,1.4,7.0,C_kitchen_sink,-11391.55659691344,-11224.720627185607,-166.8359697278338,-0.05214603138028348,3.1672772040594452,0.22785396861971652
D_MR_age,-0.085,1.4,5.0,C_kitchen_sink,-11407.392389967403,-11247.488745121964,-159.90364484543898,-0.05172911015686084,3.1480270603105964,0.22827088984313917
D_MR_age,-0.085,1.4,3.0,C_kitchen_sink,-11433.948911752635,-11295.87864693656,-138.070264816075,-0.05062122992241705,3.041237124474762,0.22937877007758295
D_MR_age,-0.07,1.2,7.0,C_kitchen_sink,-11411.783048335954,-11292.77868405013,-119.00436428582361,-0.04704034364056729,2.6818703463642777,0.23295965635943272
D_MR_age,-0.07,1.4,7.0,C_kitchen_sink,-11418.608884193494,-11302.971839930524,-115.63704426297045,-0.045715219536549875,2.6791156327762167,0.23428478046345014
D_MR_age,-0.07,1.4,5.0,C_kitchen_sink,-11429.502130475983,-11319.145768534683,-110.35636194129984,-0.045371872646672404,2.663367809366733,0.2346281273533276
D_MR_age,-0.055,1.2,7.0,B_mass_sSFR,-11440.231388518048,-11361.540206042073,-78.69118247597544,-0.04032557663168708,2.1964577557434097,0.23967442336831293
D_MR_age,-0.055,1.2,5.0,B_mass_sSFR,-11448.955176082138,-11373.59032912531,-75.36484695682702,-0.040190689801417774,2.1898162662987772,0.23980931019858223
D_MR_age,-0.055,1.2,3.0,B_mass_sSFR,-11463.628534664562,-11397.680149444603,-65.94838521995916,-0.03960787157304597,2.136777479810334,0.29039212842695405
D_MR_age,-0.055,1.4,7.0,B_mass_sSFR,-11446.113733513555,-11369.135676010805,-76.97805750275074,-0.03928440769281625,2.194308361517443,0.2907155923071838
D_MR_age,-0.055,1.4,5.0,B_mass_sSFR,-11453.431955778711,-11379.633714598367,-73.79824118034412,-0.039014635136483955,2.1820171956538985,0.29098536486351606
D_MR_age,-0.055,1.4,3.0,B_mass_sSFR,-11466.45810011352,-11401.893826327188,-64.56427378633089,-0.038297771455373254,2.1137371826896327,0.2917022285446268
