name,host_name,star_teff_k,star_class,star_mass_solar,star_radius_solar,star_luminosity_solar,star_age_gyr,planet_mass_earth,planet_radius_earth,semi_major_axis_au,orbital_period_days,eccentricity,insolation_earth,equilibrium_temp_k,density_earth,gravity_earth,atmosphere_score,magnetosphere_score,stellar_activity_score,rotation_period_days,volatile_flag,score_ecem_star,score_ecem_orbit,score_ecem_planet,score_ecem_thermal,score_ecem_atmosphere,score_ecem_magnetosphere,score_ecem_tidal,score_ecem_sigma,ECEM_base,score_surface_state,score_flux_history,score_flux_tension,flux_adjustment,ECEM_flux,sigma_proxy,flux_tension_proxy,tidal_strength_earth,score_ecee_thermal_balance,score_ecee_retention_capacity,score_ecee_rocky_boundary,score_ecee_magnetosphere_dynamo,score_ecee_tidal_stability,score_ecee_stellar_coherence,score_ecee_flux_history,retention_raw,thermal_envelope_proxy,ECEE_score,dual_coherence_score,branch_classification,rank_ECEM_flux,rank_ECEE,rank_dual
Earth,,5772.0,G,1.0,1.0,1.0,4.57,1.0,1.0,1.0,365.25,0.0167,1.0,255.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.9993321551501553,1.0,1.0,1.0,1.0,1.0,1.0,0.9998797879270278,1.0,0.9948814429839214,0.9932363019706576,0.996513328134962,0.9963935352020424,1.0,1.0858697526969596,1.0,0.9195473855771298,1.0,1.0,1.0,1.0,1.0,0.9948814429839214,1.0,1.242601513195981,0.9815154908564495,0.9882106108119664,reference Earth solution,1,1,1
Kepler-452 b,,5757.0,G,1.04,1.11,1.2,6.0,5.0,1.63,1.046,384.8,0.05,1.1,265.0,1.15,1.88,0.72,0.75,0.92,,,0.9837388824341716,0.9817093521045718,0.46166597798074926,0.9648366299714014,0.72,0.75,0.9908834380994471,0.9852395917558612,0.837667959354129,0.867597684430432,0.9784885508982814,0.9913341516820303,0.9355712825675222,0.7836980870986615,0.9015383416295031,1.0977835226963804,0.9087371561449571,0.5608933078288941,0.6830300082548584,1.0,0.75,1.0,0.962982452378253,0.9784885508982814,4.681264555576783,1.7688119287765636,0.7688462169277093,0.7755295585046378,high Earth-envelope analog,2,6,2
Kepler-442 b,,4402.0,K,0.61,0.6,0.12,5.0,2.36,1.34,0.409,112.3,0.04,0.7,233.0,0.98,1.31,0.72,0.7,0.96,,,0.4656314807301631,0.5712756968492052,0.7398535825299382,0.6959004552675824,0.72,0.7,0.008340984194462962,0.49815244592101976,0.5804867964333517,0.7131677203941694,1.0,0.9975863658732081,0.8730001078406405,0.506765035886384,0.4918612254347128,0.9520302837465892,8.915791648706586,0.9918498116482908,0.9649807617238125,1.0,0.7628569108375832,0.9887069047314712,1.0,1.0,1.6032151508240535,0.9344030829979244,0.9518124192537923,0.7515410967384586,outer super-Earth envelope candidate,4,2,3
Kepler-62 e,,4925.0,K,0.69,0.64,0.21,7.0,4.5,1.61,0.427,122.4,0.05,1.2,267.0,1.08,1.74,0.68,0.73,0.95,,,0.5710969482371109,0.6804588671143709,0.49476000843642903,0.9065615903245,0.68,0.73,0.008561585122405757,0.9544183803383337,0.6287835615926043,0.8221687052886748,0.8434092382570545,0.7851874909800749,0.8200515307353039,0.5156349221852113,0.8322733120929903,1.6351996898388568,8.862688099797671,0.602246007126793,0.8913180261869771,1.0,0.7390000000000001,0.9889376957032157,1.0,0.8434092382570545,2.3349493755439847,1.7058721497922857,0.8274214183038398,0.687117495050457,outer super-Earth envelope candidate,3,3,4
TOI-700 d,,3480.0,M,0.42,0.42,0.023,2.0,1.7,1.19,0.163,37.4,0.05,0.86,246.0,1.01,1.2,0.72,0.5,0.68,,,0.2549868389994368,0.5688587478640086,0.881768408458639,0.9375283796954453,0.72,0.5,8.163446891643945e-10,0.18351859765624473,0.566175871460031,0.8010173947979538,0.7600687017991883,0.9956624866515099,0.8303922979925136,0.47014808296960914,0.3306229114388494,1.068153424295205,96.98095963583187,0.9980796085588564,0.4904508989582559,1.0,0.6934754707114742,0.6083959305916727,0.5923367409028916,0.7600687017991883,0.429963159320191,0.9676522530492664,0.722373591854212,0.6088721128561407,compact M-dwarf high-tidal branch,5,8,5
Outer Super-Earth Test,,5000.0,K,0.75,0.75,0.35,6.0,4.5,1.6,0.85,330.0,0.05,0.48,212.0,1.1,1.76,0.75,0.8,0.97,,,0.6505292827864053,0.6332427876086704,0.49443203152084375,0.23833012680635812,0.75,0.8,0.9608375738790906,0.34022895849187285,0.5927131138618672,0.3867883226681933,0.7531538687628855,0.6574548762928417,0.5576543936661967,0.33052907212864296,0.4137127094370707,0.523302863394012,1.2212497455729698,0.9697075689174369,0.44084419271354963,1.0,0.7775000000000001,1.0,1.0,0.7531538687628855,9.60759133199472,0.8767437445761076,0.7788661090767823,0.5771144424501197,outer super-Earth envelope candidate,8,5,6
Kepler-62 f,,4925.0,K,0.69,0.64,0.21,7.0,3.0,1.41,0.718,267.3,0.05,0.41,204.0,1.07,1.51,0.66,0.72,0.95,,,0.5710969482371109,0.5402452936557243,0.6397007465793134,0.13360104030765574,0.66,0.72,0.6784994031398689,0.1647130544055735,0.5246326801188403,0.24805832801602073,0.6473439572782936,0.5533677141177007,0.42410389737502674,0.22249876432870588,0.3193336520116939,0.46336437617853193,1.864128121125923,0.7386672693028042,0.6758280002852269,1.0,0.7335,0.9529643771936609,1.0,0.6473439572782936,4.782108368746872,0.6618092633696744,0.7974960099157533,0.538747249401582,outer super-Earth envelope candidate,10,4,7
LHS 1140 b,,3216.0,M,0.18,0.21,0.0044,5.0,5.6,1.73,0.094,24.7,0.04,0.5,230.0,1.08,1.87,0.68,0.55,0.62,,,0.24660610526559754,0.2648243135495564,0.4338654048598467,0.36332756452701165,0.68,0.55,2.7304063754929175e-13,0.011386657698033474,0.3397701846518736,0.3917868204744088,0.7416612597387493,0.8240212257358701,0.5898974064117468,0.20042955070218052,0.16560174116911147,0.6440664369212306,216.714986082082,0.8780830552906801,0.7783130177127027,1.0,0.6400000000000001,0.506231305015033,0.6235974631884381,0.7416612597387493,3.49581055864084,0.7630505458297574,0.7641093764838427,0.5104534548820947,dense M-dwarf retained-envelope branch,11,7,8
K2-18 b,,3457.0,M,0.5,0.47,0.023,2.4,8.6,2.61,0.142,33.0,0.05,1.0,255.0,0.48,1.26,0.4,0.45,0.55,,sub-Neptune,0.27193830248559103,0.5952313238888308,0.2855987004233816,1.0,0.4,0.45,2.6596521113550204e-12,0.07912385828649746,0.43180696427129545,0.74,0.7914855341303498,0.9934493249768498,0.8155191456119187,0.3521468465718032,0.258255032288326,1.0844460022948164,174.6244178021911,0.9296775459816676,0.9887596805240843,0.05671339068630268,0.5186419947685796,0.5341499183825344,0.5776749916114157,0.7914855341303498,0.8991367645774491,1.2244898069744095,0.475596337441629,0.42004406655020743,sub-Neptune / volatile boundary control,6,9,9
Proxima Centauri b,,3042.0,M,0.122,0.154,0.00155,4.8,1.27,1.08,0.0485,11.2,0.11,0.65,234.0,1.0,1.09,0.48,0.3,0.28,,,0.24584790251302663,0.39234446822875974,0.9735653932674468,0.6203202881226675,0.48,0.3,7.451952709003626e-22,6.038520563305606e-05,0.45004790292091285,0.546254663076003,0.5409945590579572,0.5420779456951459,0.5433641880300767,0.2445399133452606,0.07069897496939569,0.45724996669803664,1069.386297173248,0.7571275565987792,0.006979116856459058,1.0,0.6081208838086457,0.3085747946238803,0.5383944756413401,0.5409945590579572,0.10772317919874881,0.673274778536563,0.2200086222590633,0.23104770324785212,compact M-dwarf high-tidal branch,9,10,10
TRAPPIST-1 e,,2559.0,M,0.089,0.12,0.00055,7.6,0.77,0.92,0.029,6.1,0.006,0.66,230.0,0.99,0.91,0.55,0.35,0.38,,,0.24511551314392307,0.4284798195043019,0.9686591206594029,0.6159025379268648,0.55,0.35,6.052630106215304e-30,0.00042370868571938765,0.46695526916339875,0.5783927252326548,0.7649432582374468,0.9157632560417661,0.7154926219700064,0.33410304987643025,0.093591842666706,0.7433089100185951,3649.1861084915327,0.7573227158300817,0.0003554895367774404,1.0,0.6342356382629641,0.18747639956613277,0.546332154815643,0.7649432582374468,0.059715835615930184,0.673398183085195,0.10461445910110258,0.20788432495000003,compact M-dwarf high-tidal branch,7,11,11
Mars,,5772.0,G,1.0,1.0,1.0,4.57,0.107,0.532,1.524,687.0,0.093,0.43,210.0,0.71,0.379,0.18,0.12,1.0,1.03,,1.0,0.4829128678007356,0.2983569359331914,0.17681169319824985,0.18,0.12,0.20235436018974115,0.042626986397134886,0.3741281697188692,0.20339689355016527,0.5322342085780165,0.4342811036502991,0.3442836782033815,0.12880622239031125,0.2209406350108732,0.40120986532595604,0.2825173337719087,0.2826051032482132,2.1419062069961944e-16,1.0,0.1518700557173183,0.7042347329851014,1.0,0.5322342085780165,0.002462359834228177,0.4303701296456497,0.019882983714080003,0.06889844111838407,Mars/freeze-out weak-envelope branch,12,13,12
Venus,,5772.0,G,1.0,1.0,1.0,4.57,0.815,0.949,0.723,224.7,0.0068,1.91,328.0,0.95,0.904,0.08,0.1,1.0,243.0,,1.0,0.6210817272289061,0.9798462882436183,0.19694294445997607,0.08,0.1,0.3879793039207962,0.8045373608498742,0.5730496409741072,0.014151506340230722,0.5818731152532574,0.48863594983283226,0.12596715594743252,0.07218543349020558,0.6727358255325948,2.3308875173268353,2.645971171397924,0.4654611992407966,5.549031477511389e-16,1.0,0.4978480823461977,0.8286887421858203,1.0,0.5818731152532574,0.002666827302725562,1.9117804010945225,0.026727614546121332,0.04718363307095924,Venus/runaway failed coherence branch,13,12,13
