Galaxy,SPARC_name,match_key,ngc_id,ugc_id,ic_id,pgc_id,Mb_proxy_Msun,Mstar_proxy_Msun,Mgas_proxy_Msun,Rb_kpc,Sigma_b_Msun_kpc2,V_obs_kms,V_b_kms,morphology_age_gyr,Morphology_T,z0mgs_match_status,z0mgs_match_method,z0mgs_PGC,z0mgs_NGC,z0mgs_UGC,z0mgs_IC,z0mgs_Dist_Mpc,z0mgs_e_Dist_dex,z0mgs_logMstar,z0mgs_e_logMstar,z0mgs_GammaStar,z0mgs_method_GammaStar,z0mgs_logSFR,z0mgs_e_logSFR,z0mgs_method_logSFR,z0mgs_DelMS,z0mgs_Flags,z0mgs_Mstar_Msun,z0mgs_SFR_Msun_yr,z0mgs_sSFR_yr,final_Mstar_for_SFH_Msun,final_SFR_for_SFH_Msun_yr,final_sSFR_for_SFH_yr,SFH_source,source_sparc_proxy_file,source_z0mgs_catalog,source_z0mgs_url,Mstar,Mgas,Mb,Rb,Sigma_b,V_obs,V_b,age_gyr,Mgas_safe,f_gas,D_hist_sfh,D_hist_source
NGC2403,NGC2403,NGC2403,2403.0,,,,9275170000.0,5020500000.0,4254670000.0,1.39,764033514.5787771,131.2,169.40792241227436,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,5020500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,5020500000.0,4254670000.0,9275170000.0,1.39,764033514.5787771,131.2,169.40792241227436,8.2,4254670000.0,0.4587161205670624,447164854.71156186,Delayed_Tau_Fallback
NGC2683,NGC2683,NGC2683,2683.0,,,,42077480000.0,40207500000.0,1869980000.0,2.18,1409148837.398023,154.0,288.12224605685003,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,40207500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,40207500000.0,1869980000.0,42077480000.0,2.18,1409148837.398023,154.0,288.12224605685003,9.85,1869980000.0,0.04444134962454976,2863202390.867052,Delayed_Tau_Fallback
NGC2841,NGC2841,NGC2841,2841.0,,,,107061250000.0,94060500000.0,13000750000.000002,3.64,1286025778.2195067,284.8,355.6686941281586,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,94060500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,94060500000.0,13000750000.000002,107061250000.0,3.64,1286025778.2195067,284.8,355.6686941281586,9.85,13000750000.000002,0.12143282466812223,7244899032.528063,Delayed_Tau_Fallback
NGC2903,NGC2903,NGC2903,2903.0,,,,44325660000.0,40931500000.0,3394160000.0000005,2.33,1299461750.043416,184.6,286.04201074340244,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,40931500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,40931500000.0,3394160000.0000005,44325660000.0,2.33,1299461750.043416,184.6,286.04201074340244,9.3,3394160000.0000005,0.07657325350598278,3019493426.330065,Delayed_Tau_Fallback
NGC2915,NGC2915,NGC2915,2915.0,,,,996140000.0,320500000.0,675640000.0,0.55,524101173.5919359,83.5,88.2590040464582,5.449999999999999,11.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,320500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,320500000.0,675640000.0,996140000.0,0.55,524101173.5919359,83.5,88.2590040464582,5.449999999999999,675640000.0,0.6782580761740318,29437835.66896178,Delayed_Tau_Fallback
NGC2976,NGC2976,NGC2976,2976.0,,,,1914260000.0,1685500000.0,228760000.0,1.01,298660858.11498046,85.4,90.28590438870914,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,1685500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,1685500000.0,228760000.0,1914260000.0,1.01,298660858.11498046,85.4,90.28590438870914,8.75,228760000.0,0.11950309780280631,129604773.26511636,Delayed_Tau_Fallback
NGC2998,NGC2998,NGC2998,2998.0,,,,106640830000.0,75451000000.0,31189830000.0,6.2,441530052.8075568,209.9,271.9857124317082,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,75451000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,75451000000.0,31189830000.0,106640830000.0,6.2,441530052.8075568,209.9,271.9857124317082,8.75,31189830000.0,0.292475499299846,6423984160.963911,Delayed_Tau_Fallback
NGC3109,NGC3109,NGC3109,3109.0,,,,731410000.0,97000000.0,634410000.0,1.56,47833463.56296974,66.2,44.905374750405535,6.55,9.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,97000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,97000000.0,634410000.0,731410000.0,1.56,47833463.56296974,66.2,44.905374750405535,6.55,634410000.0,0.8673794451812253,9046765.421325382,Delayed_Tau_Fallback
NGC3198,NGC3198,NGC3198,3198.0,,,,33595270000.0,19139500000.0,14455770000.0,3.14,542299209.4006712,150.1,214.51339742260808,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,19139500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,19139500000.0,14455770000.0,33595270000.0,3.14,542299209.4006712,150.1,214.51339742260808,8.75,14455770000.0,0.43029182381924597,1694842143.9337635,Delayed_Tau_Fallback
NGC3521,NGC3521,NGC3521,3521.0,,,,47942820000.0,42418000000.0,5524820000.0,2.4,1324711248.049476,213.7,293.11385299785815,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,42418000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,42418000000.0,5524820000.0,47942820000.0,2.4,1324711248.049476,213.7,293.11385299785815,9.3,5524820000.0,0.1152376935691309,3249367694.9992447,Delayed_Tau_Fallback
NGC3726,NGC3726,NGC3726,3726.0,,,,43726090000.0,35117000000.0,8609090000.0,3.4,602008941.6592643,168.0,235.1857699663746,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,35117000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,35117000000.0,8609090000.0,43726090000.0,3.4,602008941.6592643,168.0,235.1857699663746,8.75,8609090000.0,0.19688680144966084,2857102143.4947248,Delayed_Tau_Fallback
NGC3741,NGC3741,NGC3741,3741.0,,,,256060000.0,14000000.0,242060000.0,0.2,1018830368.202768,50.1,74.20549220239698,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,14000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,14000000.0,242060000.0,256060000.0,0.2,1018830368.202768,50.1,74.20549220239698,6.0,242060000.0,0.9453253143794423,1311840.4746916513,Delayed_Tau_Fallback
NGC3769,NGC3769,NGC3769,3769.0,,,,16693070000.0,9339500000.0,7353570000.0,3.38,232553535.05470973,118.6,145.74374822291722,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,9339500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,9339500000.0,7353570000.0,16693070000.0,3.38,232553535.05470973,118.6,145.74374822291722,9.85,7353570000.0,0.44051633402363977,828817728.0277107,Delayed_Tau_Fallback
NGC3877,NGC3877,NGC3877,3877.0,,,,38239890000.0,36267500000.0,1972390000.0,2.53,950814341.2317548,168.4,254.9636301273331,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,36267500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,36267500000.0,1972390000.0,38239890000.0,2.53,950814341.2317548,168.4,254.9636301273331,8.75,1972390000.0,0.05157938477333486,2603547346.7341843,Delayed_Tau_Fallback
NGC3893,NGC3893,NGC3893,3893.0,,,,36975170000.0,29262500000.0,7712670000.000001,2.38,1038906340.8592536,174.0,258.49181057903667,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,29262500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,29262500000.0,7712670000.000001,36975170000.0,2.38,1038906340.8592536,174.0,258.49181057903667,8.75,7712670000.000001,0.2085905216933418,2396957005.5216484,Delayed_Tau_Fallback
NGC3917,NGC3917,NGC3917,3917.0,,,,13494040000.0,10983000000.0,2511040000.0,2.63,310492152.3051887,135.9,148.55022012697208,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,10983000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,10983000000.0,2511040000.0,13494040000.0,2.63,310492152.3051887,135.9,148.55022012697208,8.2,2511040000.0,0.18608511609569856,887679965.7635733,Delayed_Tau_Fallback
NGC3949,NGC3949,NGC3949,3949.0,,,,23516930000.0,19033500000.0,4483430000.0,3.59,290410196.6811312,163.0,167.85074233055752,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,19033500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,19033500000.0,4483430000.0,23516930000.0,3.59,290410196.6811312,163.0,167.85074233055752,9.3,4483430000.0,0.19064690841874343,1542718385.6486363,Delayed_Tau_Fallback
NGC3953,NGC3953,NGC3953,3953.0,,,,74417060000.0,70650500000.0,3766560000.0,4.89,495307520.0156474,220.8,255.83620364007365,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,70650500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,70650500000.0,3766560000.0,74417060000.0,4.89,495307520.0156474,220.8,255.83620364007365,9.3,3766560000.0,0.0506142005610004,5066311450.174721,Delayed_Tau_Fallback
NGC3972,NGC3972,NGC3972,3972.0,,,,8791120000.0,7176500000.0,1614620000.0,2.18,294409183.4260632,132.7,131.69643980196943,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,7176500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,7176500000.0,1614620000.0,8791120000.0,2.18,294409183.4260632,132.7,131.69643980196943,9.3,1614620000.0,0.18366488001528816,579138552.0322506,Delayed_Tau_Fallback
NGC3992,NGC3992,NGC3992,3992.0,,,,135542670000.0,113466000000.0,22076670000.0,4.96,876865160.4112557,241.0,342.8288463785008,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,113466000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,113466000000.0,22076670000.0,135542670000.0,4.96,876865160.4112557,241.0,342.8288463785008,9.3,22076670000.0,0.1628761629086988,9029557023.55707,Delayed_Tau_Fallback
NGC4010,NGC4010,NGC4010,4010.0,,,,12363060000.0,8596500000.0,3766560000.0,2.81,249191640.270727,125.8,137.55931542946658,7.649999999999999,7.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,8596500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,8596500000.0,3766560000.0,12363060000.0,2.81,249191640.270727,125.8,137.55931542946658,7.649999999999999,3766560000.0,0.3046624379401216,735185962.1737491,Delayed_Tau_Fallback
NGC4013,NGC4013,NGC4013,4013.0,,,,43493110000.0,39547000000.0,3946110000.000001,3.53,555509108.2457563,172.9,230.19880047958105,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,39547000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,39547000000.0,3946110000.000001,43493110000.0,3.53,555509108.2457563,172.9,230.19880047958105,9.85,3946110000.000001,0.09072954313913172,2959954817.4469357,Delayed_Tau_Fallback
NGC4051,NGC4051,NGC4051,4051.0,,,,51221010000.0,47634000000.0,3587010000.0000005,4.65,377018241.7231774,157.0,217.6595714823287,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,47634000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,47634000000.0,3587010000.0000005,51221010000.0,4.65,377018241.7231774,157.0,217.6595714823287,9.3,3587010000.0000005,0.07003005212119012,3489609190.162453,Delayed_Tau_Fallback
NGC4085,NGC4085,NGC4085,4085.0,,,,12656170000.0,10862000000.0,1794170000.0,1.65,739868509.1318103,131.5,181.6307411484113,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,10862000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,10862000000.0,1794170000.0,12656170000.0,1.65,739868509.1318103,131.5,181.6307411484113,8.75,1794170000.0,0.1417624763257763,850851577.9678589,Delayed_Tau_Fallback
NGC4088,NGC4088,NGC4088,4088.0,,,,64583580000.0,53643000000.0,10940580000.000002,2.58,1544197464.030237,171.7,328.11900200958706,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,53643000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,53643000000.0,10940580000.000002,64583580000.0,2.58,1544197464.030237,171.7,328.11900200958706,9.3,10940580000.000002,0.16940188202636028,4288334394.0429773,Delayed_Tau_Fallback
NGC4100,NGC4100,NGC4100,4100.0,,,,33822660000.0,29697000000.0,4125660000.0,2.15,1164530779.3437588,158.2,260.11465863631827,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,29697000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,29697000000.0,4125660000.0,33822660000.0,2.15,1164530779.3437588,158.2,260.11465863631827,9.3,4125660000.0,0.12197917017762648,2288462993.192598,Delayed_Tau_Fallback
NGC4138,NGC4138,NGC4138,4138.0,,,,24027890000.0,22055500000.0,1972390000.0,1.51,1677188485.4034126,147.3,261.6070968060146,11.5,0.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,22055500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,22055500000.0,1972390000.0,24027890000.0,1.51,1677188485.4034126,147.3,261.6070968060146,11.5,1972390000.0,0.08208752412300872,1636381310.2640762,Delayed_Tau_Fallback
NGC4157,NGC4157,NGC4157,4157.0,,,,63750580000.0,52810000000.0,10940580000.000002,2.32,1885073560.488876,184.7,343.77813805074624,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,52810000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,52810000000.0,10940580000.000002,63750580000.0,2.32,1885073560.488876,184.7,343.77813805074624,9.85,10940580000.000002,0.17161537981301506,4228115440.427739,Delayed_Tau_Fallback
NGC4183,NGC4183,NGC4183,4183.0,,,,10081980000.0,5419000000.0,4662980000.0,2.79,206137761.99607235,110.6,124.66685153485228,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,5419000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,5419000000.0,4662980000.0,10081980000.0,2.79,206137761.99607235,110.6,124.66685153485228,8.2,4662980000.0,0.46250637275614515,483011488.4773737,Delayed_Tau_Fallback
NGC4214,NGC4214,NGC4214,4214.0,,,,1216880000.0,570500000.0,646380000.0000001,0.51,744607716.8383914,80.1,101.30222072164683,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,570500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,570500000.0,646380000.0000001,1216880000.0,0.51,744607716.8383914,80.1,101.30222072164683,6.0,646380000.0000001,0.531178094799816,51451911.575336136,Delayed_Tau_Fallback
NGC4217,NGC4217,NGC4217,4217.0,,,,46056960000.0,42649500000.0,3407460000.0,2.94,848048596.3933663,181.3,259.56979048779453,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,42649500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,42649500000.0,3407460000.0,46056960000.0,2.94,848048596.3933663,181.3,259.56979048779453,9.85,3407460000.0,0.0739836063865266,3137646935.5776887,Delayed_Tau_Fallback
NGC4559,NGC4559,NGC4559,4559.0,,,,17417130000.0,9688500000.0,7728630000.000001,2.1,628576492.9646583,121.2,188.8681936321125,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,9688500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,9688500000.0,7728630000.000001,17417130000.0,2.1,628576492.9646583,121.2,188.8681936321125,8.2,7728630000.000001,0.4437372862233905,860359569.0750954,Delayed_Tau_Fallback
NGC5005,NGC5005,NGC5005,5005.0,,,,91062400000.0,89360000000.0,1702400000.0,9.45,162291437.41565368,262.2,203.57939490541008,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,89360000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,89360000000.0,1702400000.0,91062400000.0,9.45,162291437.41565368,262.2,203.57939490541008,9.3,1702400000.0,0.01869487296622975,6178635751.370294,Delayed_Tau_Fallback
NGC5033,NGC5033,NGC5033,5033.0,,,,70302120000.0,55254500000.0,15047620000.0,5.16,420232028.86844224,194.2,242.0692013497236,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,55254500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24,55254500000.0,15047620000.0,70302120000.0,5.16,420232028.86844224,194.2,242.0692013497236,8.75,15047620000.0,0.21404219389116572,4539710392.889682,Delayed_Tau_Fallback
